product_id,product_name,category,unit_price
128,Lululemon Align Leggings,Clothing,98.0
129,The Four Agreements by Don Miguel Ruiz,Books,8.99
130,Fenty Beauty Killawatt Highlighter,Beauty Products,36.0
131,Hydro Flask Wide Mouth Water Bottle,Sports,39.95
132,Microsoft Surface Laptop 4,Electronics,1299.99
133,Keurig K-Mini Coffee Maker,Home Appliances,79.99
134,Gap Crewneck Sweatshirt,Clothing,34.99
135,Think and Grow Rich by Napoleon Hill,Books,9.99
136,The Ordinary Hyaluronic Acid Serum,Beauty Products,6.8
137,Fitbit Inspire 2,Sports,99.95
138,Samsung Odyssey G9 Gaming Monitor,Electronics,1499.99
139,Instant Pot Ultra,Home Appliances,139.99
140,Adidas Essential Track Pants,Clothing,44.99
141,The Power of Habit by Charles Duhigg,Books,11.99
142,Clinique Dramatically Different Moisturizing Lotion,Beauty Products,29.5
143,YETI Tundra 45 Cooler,Sports,299.99
144,Apple AirPods Max,Electronics,549.0
145,Cuisinart Coffee Center,Home Appliances,199.95
146,Levi's Sherpa Trucker Jacket,Clothing,98.0
147,The Outsiders by S.E. Hinton,Books,10.99
148,Laneige Water Sleeping Mask,Beauty Products,25.0
149,Bose SoundSport Wireless Earbuds,Sports,149.99
150,Ninja Foodi Pressure Cooker,Home Appliances,199.99
151,Nike Sportswear Club Fleece Hoodie,Clothing,54.99
152,The Night Circus by Erin Morgenstern,Books,16.99
153,GlamGlow Supermud Clearing Treatment,Beauty Products,59.0
154,Garmin Forerunner 245,Sports,299.99
155,Google Pixel 6 Pro,Electronics,899.99
156,Breville Nespresso Creatista Plus,Home Appliances,499.95
157,Under Armour Tech 2.0 T-Shirt,Clothing,24.99
158,The Art of War by Sun Tzu,Books,7.99
159,Youth to the People Superfood Antioxidant Cleanser,Beauty Products,36.0
160,TriggerPoint GRID Foam Roller,Sports,34.99
161,Apple MacBook Air,Electronics,1199.99
162,Cuisinart Custom 14-Cup Food Processor,Home Appliances,199.99
163,Adidas 3-Stripes Shorts,Clothing,29.99
164,The Hunger Games by Suzanne Collins,Books,8.99
165,Neutrogena Hydro Boost Water Gel,Beauty Products,16.99
166,Yeti Rambler Bottle,Sports,49.99
167,Samsung Odyssey G7 Gaming Monitor,Electronics,699.99
168,Instant Pot Duo Evo Plus,Home Appliances,139.99
169,Nike Tempo Running Shorts,Clothing,34.99
170,The Girl with the Dragon Tattoo by Stieg Larsson,Books,9.99
171,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,Beauty Products,29.5
172,Bowflex SelectTech 1090 Adjustable Dumbbells,Sports,699.99
173,Amazon Fire TV Stick 4K,Electronics,49.99
174,Crock-Pot 6-Quart Slow Cooker,Home Appliances,49.99
175,Uniqlo Airism Mesh Boxer Briefs,Clothing,14.9
176,The Sun Also Rises by Ernest Hemingway,Books,11.99
177,First Aid Beauty Ultra Repair Cream,Beauty Products,34.0
178,Oakley Holbrook Sunglasses,Sports,146.0
179,Google Pixelbook Go,Electronics,649.99
180,Dyson V8 Absolute,Home Appliances,399.99
181,Levi's 511 Slim Fit Jeans,Clothing,59.99
182,The Martian by Andy Weir,Books,12.99
183,La Mer Crème de la Mer Moisturizer,Beauty Products,190.0
184,Polar Vantage V2,Sports,499.95
185,Sonos Beam Soundbar,Electronics,399.0
186,Anova Precision Cooker,Home Appliances,199.0
187,Nike Dri-FIT Training Shorts,Clothing,34.99
188,Glossier Cloud Paint,Beauty Products,18.0
189,TRX All-in-One Suspension Training System,Sports,169.95
190,Logitech G Pro X Wireless Gaming Headset,Electronics,199.99
191,Breville Smart Coffee Grinder Pro,Home Appliances,199.95
192,Adidas Ultraboost Running Shoes,Clothing,179.99
193,The Road by Cormac McCarthy,Books,11.99
194,Tom Ford Black Orchid Perfume,Beauty Products,125.0
195,GoPro HERO9 Black,Sports,449.99
196,Apple TV 4K,Electronics,179.0
197,Instant Pot Duo Nova,Home Appliances,99.95
198,Gap 1969 Original Fit Jeans,Clothing,59.99
199,The Goldfinch by Donna Tartt,Books,14.99
200,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,Beauty Products,52.0
201,Yeti Tundra Haul Portable Wheeled Cooler,Sports,399.99
202,Samsung Galaxy Watch 4,Electronics,299.99
203,KitchenAid Stand Mixer,Home Appliances,379.99
204,Lululemon Wunder Under High-Rise Leggings,Clothing,98.0
205,The Great Alone by Kristin Hannah,Books,16.99
206,Caudalie Vinoperfect Radiance Serum,Beauty Products,79.0
207,Bose SoundLink Color Bluetooth Speaker II,Sports,129.0
208,Canon EOS Rebel T7i DSLR Camera,Electronics,749.99
209,Uniqlo Airism Seamless Boxer Briefs,Clothing,9.9
210,L'Occitane Shea Butter Hand Cream,Beauty Products,29.0
211,YETI Tundra 65 Cooler,Sports,349.99
212,Apple MacBook Pro 16-inch,Electronics,2399.0
213,iRobot Braava Jet M6,Home Appliances,449.99
214,Champion Reverse Weave Hoodie,Clothing,49.99
215,The Nightingale by Kristin Hannah,Books,12.99
216,Tarte Shape Tape Concealer,Beauty Products,27.0
217,Amazon Echo Dot (4th Gen),Electronics,49.99
218,Philips Sonicare DiamondClean Toothbrush,Home Appliances,229.99
219,Old Navy Mid-Rise Rockstar Super Skinny Jeans,Clothing,44.99
220,The Ordinary Caffeine Solution 5% + EGCG,Beauty Products,6.7
221,Fitbit Luxe,Sports,149.95
222,Google Nest Wifi Router,Electronics,169.0
223,Anova Precision Oven,Home Appliances,599.0
224,Adidas Originals Trefoil Hoodie,Clothing,64.99
225,Fresh Sugar Lip Treatment,Beauty Products,24.0
226,Hydro Flask Standard Mouth Water Bottle,Sports,32.95
227,Bose QuietComfort 35 II Wireless Headphones,Electronics,299.0
228,Nespresso Vertuo Next Coffee and Espresso Maker,Home Appliances,159.99
229,Nike Air Force 1 Sneakers,Clothing,90.0
230,The Handmaid's Tale by Margaret Atwood,Books,10.99
231,Sunday Riley Luna Sleeping Night Oil,Beauty Products,55.0
232,Yeti Rambler 20 oz Tumbler,Sports,29.99
